id,date,year,month,day
1,2018-09-01,2018,9,1
2,2018-09-02,2018,9,2
3,2018-09-03,2018,9,3
4,2018-09-04,2018,9,4
5,2018-09-05,2018,9,5
6,2018-09-06,2018,9,6
7,2018-09-07,2018,9,7
8,2018-09-08,2018,9,8
9,2018-09-09,2018,9,9
10,2018-09-10,2018,9,10
11,2018-09-11,2018,9,11
12,2018-09-12,2018,9,12
13,2018-09-13,2018,9,13
14,2018-09-14,2018,9,14
15,2018-09-15,2018,9,15
16,2018-09-16,2018,9,16
17,2018-09-17,2018,9,17
18,2018-09-18,2018,9,18
19,2018-09-19,2018,9,19
20,2018-09-20,2018,9,20
21,2018-09-21,2018,9,21
22,2018-09-22,2018,9,22
23,2018-09-23,2018,9,23
24,2018-09-24,2018,9,24
25,2018-09-25,2018,9,25
26,2018-09-26,2018,9,26
27,2018-09-27,2018,9,27
28,2018-09-28,2018,9,28
29,2018-09-29,2018,9,29
30,2018-09-30,2018,9,30
31,2018-10-01,2018,10,1
32,2018-10-02,2018,10,2
33,2018-10-03,2018,10,3
34,2018-10-04,2018,10,4
35,2018-10-05,2018,10,5
36,2018-10-06,2018,10,6
37,2018-10-07,2018,10,7
38,2018-10-08,2018,10,8
39,2018-10-09,2018,10,9
40,2018-10-10,2018,10,10
41,2018-10-11,2018,10,11
42,2018-10-12,2018,10,12
43,2018-10-13,2018,10,13
44,2018-10-14,2018,10,14
45,2018-10-15,2018,10,15
46,2018-10-16,2018,10,16
47,2018-10-17,2018,10,17
48,2018-10-18,2018,10,18
49,2018-10-19,2018,10,19
50,2018-10-20,2018,10,20
51,2018-10-21,2018,10,21
52,2018-10-22,2018,10,22
53,2018-10-23,2018,10,23
54,2018-10-24,2018,10,24
55,2018-10-25,2018,10,25
56,2018-10-26,2018,10,26
57,2018-10-27,2018,10,27
58,2018-10-28,2018,10,28
59,2018-10-29,2018,10,29
60,2018-10-30,2018,10,30
61,2018-10-31,2018,10,31
62,2018-11-01,2018,11,1
63,2018-11-02,2018,11,2
64,2018-11-03,2018,11,3
65,2018-11-04,2018,11,4
66,2018-11-05,2018,11,5
67,2018-11-06,2018,11,6
68,2018-11-07,2018,11,7
69,2018-11-08,2018,11,8
70,2018-11-09,2018,11,9
71,2018-11-10,2018,11,10
72,2018-11-11,2018,11,11
73,2018-11-12,2018,11,12
74,2018-11-13,2018,11,13
75,2018-11-14,2018,11,14
76,2018-11-15,2018,11,15
77,2018-11-16,2018,11,16
78,2018-11-17,2018,11,17
79,2018-11-18,2018,11,18
80,2018-11-19,2018,11,19
81,2018-11-20,2018,11,20
82,2018-11-21,2018,11,21
83,2018-11-22,2018,11,22
84,2018-11-23,2018,11,23
85,2018-11-24,2018,11,24
86,2018-11-25,2018,11,25
87,2018-11-26,2018,11,26
88,2018-11-27,2018,11,27
89,2018-11-28,2018,11,28
90,2018-11-29,2018,11,29
91,2018-11-30,2018,11,30
92,2018-12-01,2018,12,1
93,2018-12-02,2018,12,2
94,2018-12-03,2018,12,3
95,2018-12-04,2018,12,4
96,2018-12-05,2018,12,5
97,2018-12-06,2018,12,6
98,2018-12-07,2018,12,7
99,2018-12-08,2018,12,8
100,2018-12-09,2018,12,9
101,2018-12-10,2018,12,10
102,2018-12-11,2018,12,11
103,2018-12-12,2018,12,12
104,2018-12-13,2018,12,13
105,2018-12-14,2018,12,14
106,2018-12-15,2018,12,15
107,2018-12-16,2018,12,16
108,2018-12-17,2018,12,17
109,2018-12-18,2018,12,18
110,2018-12-19,2018,12,19
111,2018-12-20,2018,12,20
112,2018-12-21,2018,12,21
113,2018-12-22,2018,12,22
114,2018-12-23,2018,12,23
115,2018-12-24,2018,12,24
116,2018-12-25,2018,12,25
117,2018-12-26,2018,12,26
118,2018-12-27,2018,12,27
119,2018-12-28,2018,12,28
120,2018-12-29,2018,12,29
121,2018-12-30,2018,12,30
122,2018-12-31,2018,12,31
123,2019-01-01,2019,1,1
124,2019-01-02,2019,1,2
125,2019-01-03,2019,1,3
126,2019-01-04,2019,1,4
127,2019-01-05,2019,1,5
128,2019-01-06,2019,1,6
129,2019-01-07,2019,1,7
130,2019-01-08,2019,1,8
131,2019-01-09,2019,1,9
132,2019-01-10,2019,1,10
133,2019-01-11,2019,1,11
134,2019-01-12,2019,1,12
135,2019-01-13,2019,1,13
136,2019-01-14,2019,1,14
137,2019-01-15,2019,1,15
138,2019-01-16,2019,1,16
139,2019-01-17,2019,1,17
140,2019-01-18,2019,1,18
141,2019-01-19,2019,1,19
142,2019-01-20,2019,1,20
143,2019-01-21,2019,1,21
144,2019-01-22,2019,1,22
145,2019-01-23,2019,1,23
146,2019-01-24,2019,1,24
147,2019-01-25,2019,1,25
148,2019-01-26,2019,1,26
149,2019-01-27,2019,1,27
150,2019-01-28,2019,1,28
151,2019-01-29,2019,1,29
152,2019-01-30,2019,1,30
153,2019-01-31,2019,1,31
154,2019-02-01,2019,2,1
155,2019-02-02,2019,2,2
156,2019-02-03,2019,2,3
157,2019-02-04,2019,2,4
158,2019-02-05,2019,2,5
159,2019-02-06,2019,2,6
160,2019-02-07,2019,2,7
161,2019-02-08,2019,2,8
162,2019-02-09,2019,2,9
163,2019-02-10,2019,2,10
164,2019-02-11,2019,2,11
165,2019-02-12,2019,2,12
166,2019-02-13,2019,2,13
167,2019-02-14,2019,2,14
168,2019-02-15,2019,2,15
169,2019-02-16,2019,2,16
170,2019-02-17,2019,2,17
171,2019-02-18,2019,2,18
172,2019-02-19,2019,2,19
173,2019-02-20,2019,2,20
174,2019-02-21,2019,2,21
175,2019-02-22,2019,2,22
176,2019-02-23,2019,2,23
177,2019-02-24,2019,2,24
178,2019-02-25,2019,2,25
179,2019-02-26,2019,2,26
180,2019-02-27,2019,2,27
181,2019-02-28,2019,2,28
182,2019-03-01,2019,3,1
183,2019-03-02,2019,3,2
184,2019-03-03,2019,3,3
185,2019-03-04,2019,3,4
186,2019-03-05,2019,3,5
187,2019-03-06,2019,3,6
188,2019-03-07,2019,3,7
189,2019-03-08,2019,3,8
190,2019-03-09,2019,3,9
191,2019-03-10,2019,3,10
192,2019-03-11,2019,3,11
193,2019-03-12,2019,3,12
194,2019-03-13,2019,3,13
195,2019-03-14,2019,3,14
196,2019-03-15,2019,3,15
197,2019-03-16,2019,3,16
198,2019-03-17,2019,3,17
199,2019-03-18,2019,3,18
200,2019-03-19,2019,3,19
201,2019-03-20,2019,3,20
202,2019-03-21,2019,3,21
203,2019-03-22,2019,3,22
204,2019-03-23,2019,3,23
205,2019-03-24,2019,3,24
206,2019-03-25,2019,3,25
207,2019-03-26,2019,3,26
208,2019-03-27,2019,3,27
209,2019-03-28,2019,3,28
210,2019-03-29,2019,3,29
211,2019-03-30,2019,3,30
212,2019-03-31,2019,3,31
213,2019-04-01,2019,4,1
214,2019-04-02,2019,4,2
215,2019-04-03,2019,4,3
216,2019-04-04,2019,4,4
217,2019-04-05,2019,4,5
218,2019-04-06,2019,4,6
219,2019-04-07,2019,4,7
220,2019-04-08,2019,4,8
221,2019-04-09,2019,4,9
222,2019-04-10,2019,4,10
223,2019-04-11,2019,4,11
224,2019-04-12,2019,4,12
225,2019-04-13,2019,4,13
226,2019-04-14,2019,4,14
227,2019-04-15,2019,4,15
228,2019-04-16,2019,4,16
229,2019-04-17,2019,4,17
230,2019-04-18,2019,4,18
231,2019-04-19,2019,4,19
232,2019-04-20,2019,4,20
233,2019-04-21,2019,4,21
234,2019-04-22,2019,4,22
235,2019-04-23,2019,4,23
236,2019-04-24,2019,4,24
237,2019-04-25,2019,4,25
238,2019-04-26,2019,4,26
239,2019-04-27,2019,4,27
240,2019-04-28,2019,4,28
241,2019-04-29,2019,4,29
242,2019-04-30,2019,4,30
243,2019-05-01,2019,5,1
244,2019-05-02,2019,5,2
245,2019-05-03,2019,5,3
246,2019-05-04,2019,5,4
247,2019-05-05,2019,5,5
248,2019-05-06,2019,5,6
249,2019-05-07,2019,5,7
250,2019-05-08,2019,5,8
251,2019-05-09,2019,5,9
252,2019-05-10,2019,5,10
253,2019-05-11,2019,5,11
254,2019-05-12,2019,5,12
255,2019-05-13,2019,5,13
256,2019-05-14,2019,5,14
257,2019-05-15,2019,5,15
258,2019-05-16,2019,5,16
259,2019-05-17,2019,5,17
260,2019-05-18,2019,5,18
261,2019-05-19,2019,5,19
262,2019-05-20,2019,5,20
263,2019-05-21,2019,5,21
264,2019-05-22,2019,5,22
265,2019-05-23,2019,5,23
266,2019-05-24,2019,5,24
267,2019-05-25,2019,5,25
268,2019-05-26,2019,5,26
269,2019-05-27,2019,5,27
270,2019-05-28,2019,5,28
271,2019-05-29,2019,5,29
272,2019-05-30,2019,5,30
273,2019-05-31,2019,5,31
274,2019-06-01,2019,6,1
275,2019-06-02,2019,6,2
276,2019-06-03,2019,6,3
277,2019-06-04,2019,6,4
278,2019-06-05,2019,6,5
279,2019-06-06,2019,6,6
280,2019-06-07,2019,6,7
281,2019-06-08,2019,6,8
282,2019-06-09,2019,6,9
283,2019-06-10,2019,6,10
284,2019-06-11,2019,6,11
285,2019-06-12,2019,6,12
286,2019-06-13,2019,6,13
287,2019-06-14,2019,6,14
288,2019-06-15,2019,6,15
289,2019-06-16,2019,6,16
290,2019-06-17,2019,6,17
291,2019-06-18,2019,6,18
292,2019-06-19,2019,6,19
293,2019-06-20,2019,6,20
294,2019-06-21,2019,6,21
295,2019-06-22,2019,6,22
296,2019-06-23,2019,6,23
297,2019-06-24,2019,6,24
298,2019-06-25,2019,6,25
299,2019-06-26,2019,6,26
300,2019-06-27,2019,6,27
301,2019-06-28,2019,6,28
302,2019-06-29,2019,6,29
303,2019-06-30,2019,6,30
304,2019-07-01,2019,7,1
305,2019-07-02,2019,7,2
306,2019-07-03,2019,7,3
307,2019-07-04,2019,7,4
308,2019-07-05,2019,7,5
309,2019-07-06,2019,7,6
310,2019-07-07,2019,7,7
311,2019-07-08,2019,7,8
312,2019-07-09,2019,7,9
313,2019-07-10,2019,7,10
314,2019-07-11,2019,7,11
315,2019-07-12,2019,7,12
316,2019-07-13,2019,7,13
317,2019-07-14,2019,7,14
318,2019-07-15,2019,7,15
319,2019-07-16,2019,7,16
320,2019-07-17,2019,7,17
321,2019-07-18,2019,7,18
322,2019-07-19,2019,7,19
323,2019-07-20,2019,7,20
324,2019-07-21,2019,7,21
325,2019-07-22,2019,7,22
326,2019-07-23,2019,7,23
327,2019-07-24,2019,7,24
328,2019-07-25,2019,7,25
329,2019-07-26,2019,7,26
330,2019-07-27,2019,7,27
331,2019-07-28,2019,7,28
332,2019-07-29,2019,7,29
333,2019-07-30,2019,7,30
334,2019-07-31,2019,7,31
335,2019-08-01,2019,8,1
336,2019-08-02,2019,8,2
337,2019-08-03,2019,8,3
338,2019-08-04,2019,8,4
339,2019-08-05,2019,8,5
340,2019-08-06,2019,8,6
341,2019-08-07,2019,8,7
342,2019-08-08,2019,8,8
343,2019-08-09,2019,8,9
344,2019-08-10,2019,8,10
345,2019-08-11,2019,8,11
346,2019-08-12,2019,8,12
347,2019-08-13,2019,8,13
348,2019-08-14,2019,8,14
349,2019-08-15,2019,8,15
350,2019-08-16,2019,8,16
351,2019-08-17,2019,8,17
352,2019-08-18,2019,8,18
353,2019-08-19,2019,8,19
354,2019-08-20,2019,8,20
355,2019-08-21,2019,8,21
356,2019-08-22,2019,8,22
357,2019-08-23,2019,8,23
358,2019-08-24,2019,8,24
359,2019-08-25,2019,8,25
360,2019-08-26,2019,8,26
361,2019-08-27,2019,8,27
362,2019-08-28,2019,8,28
363,2019-08-29,2019,8,29
364,2019-08-30,2019,8,30
365,2019-08-31,2019,8,31
